destination_name,district,province,duration_days,budget_npr,category,activities,difficulty_level,description
Phewa Lake,Kaski,Gandaki,1,3000,Lake,"Boating, Photography, Lakeside Walk",easy,A serene lake in Pokhara offering boating and stunning reflections of the Annapurna range at sunrise.
Sarangkot,Kaski,Gandaki,1,2500,Hill Station,"Sunrise Viewing, Paragliding, Hiking",easy,Popular viewpoint near Pokhara known for spectacular sunrise views over the Annapurna and Machhapuchhre peaks.
Annapurna Base Camp,Kaski,Gandaki,12,45000,Trekking,"Trekking, Camping, Mountain Viewing",difficult,Iconic trekking destination surrounded by towering peaks
Poon Hill,Myagdi,Gandaki,5,15000,Trekking,"Trekking, Sunrise Viewing, Photography",moderate,Famous short trek offering panoramic sunrise views of Dhaulagiri and Annapurna ranges from a scenic hilltop.
Chitwan National Park,Chitwan,Bagmati,3,8000,National Park,"Jungle Safari, Canoeing, Bird Watching",easy,UNESCO World Heritage jungle reserve famous for one-horned rhinos
Lumbini,Rupandehi,Lumbini,2,5000,Religious,"Pilgrimage, Monastery Tour, Meditation",easy,Birthplace of Lord Buddha and UNESCO World Heritage Site featuring ancient monasteries and the sacred Maya Devi Temple.
Swayambhunath Stupa,Kathmandu,Bagmati,1,1500,Religious,"Sightseeing, Pilgrimage, Photography",easy,Ancient hilltop stupa overlooking Kathmandu Valley
Pashupatinath Temple,Kathmandu,Bagmati,1,1000,Religious,"Pilgrimage, Cultural Observation, Photography",easy,Sacred Hindu temple complex on the Bagmati River
Boudhanath Stupa,Kathmandu,Bagmati,1,1500,Religious,"Pilgrimage, Shopping, Photography",easy,One of the largest stupas in the world
Kathmandu Durbar Square,Kathmandu,Bagmati,1,1200,Heritage,"Sightseeing, Photography, Museum Visit",easy,Historic royal palace complex showcasing exquisite Newar architecture and centuries of Kathmandu's heritage.
Bhaktapur Durbar Square,Bhaktapur,Bagmati,1,1500,Heritage,"Sightseeing, Pottery Tour, Photography",easy,Well-preserved medieval city famous for intricate wood carvings
Patan Durbar Square,Lalitpur,Bagmati,1,1200,Heritage,"Sightseeing, Museum Visit, Photography",easy,City of fine arts renowned for ancient temples
Nagarkot,Bhaktapur,Bagmati,1,3500,Hill Station,"Sunrise Viewing, Hiking, Photography",easy,Popular hill station near Kathmandu offering breathtaking Himalayan sunrise views including Everest on clear days.
Everest Base Camp,Solukhumbu,Koshi,14,80000,Trekking,"Trekking, Mountaineering, Camping",difficult,World-renowned trek to the foot of Mount Everest through Sherpa villages and dramatic high-altitude landscapes.
Namche Bazaar,Solukhumbu,Koshi,2,15000,Trekking,"Trekking, Shopping, Acclimatization",moderate,Vibrant Sherpa trading town and gateway to Everest
Rara Lake,Mugu,Karnali,7,30000,Lake,"Trekking, Boating, Camping",moderate,Nepal's largest lake
Gosaikunda,Rasuwa,Bagmati,5,18000,Lake,"Trekking, Pilgrimage, Camping",moderate,Sacred alpine lake revered by Hindus and Buddhists
Langtang Valley,Rasuwa,Bagmati,7,25000,Trekking,"Trekking, Camping, Cultural Tour",moderate,Scenic Himalayan valley near Kathmandu offering glaciers
Mustang (Upper Mustang),Mustang,Gandaki,10,60000,Cultural,"Trekking, Cultural Tour, Photography",difficult,Remote trans-Himalayan kingdom with arid landscapes
Bandipur,Tanahun,Gandaki,2,4000,Hill Station,"Sightseeing, Hiking, Photography",easy,Charming hilltop Newar town preserving traditional architecture with panoramic Himalayan and valley views.
Ilam Tea Gardens,Ilam,Koshi,2,5000,Hill Station,"Tea Garden Tour, Hiking, Photography",easy,Lush rolling tea estates in eastern Nepal offering scenic walks and insight into Nepal's tea production heritage.
Pathibhara Devi Temple,Taplejung,Koshi,3,8000,Religious,"Pilgrimage, Trekking, Photography",moderate,Revered Hindu temple atop a scenic ridge in eastern Nepal
Kanchenjunga Base Camp,Taplejung,Koshi,18,55000,Trekking,"Trekking, Camping, Mountaineering",difficult,Remote trek to the world's third-highest peak through pristine forests and traditional Limbu villages.
Bardia National Park,Bardiya,Lumbini,3,9000,National Park,"Jungle Safari, Canoeing, Bird Watching",easy,Nepal's largest wilderness national park
Shuklaphanta National Park,Kanchanpur,Sudurpashchim,2,8500,National Park,"Jungle Safari, Bird Watching, Wildlife Photography",easy,Grassland reserve in the far west famous for swamp deer herds and rich biodiversity in the Terai region.
Khaptad National Park,Bajhang,Sudurpashchim,5,12000,National Park,"Trekking, Pilgrimage, Camping",moderate,Tranquil plateau national park blending alpine meadows
Tilicho Lake,Manang,Gandaki,10,40000,Lake,"Trekking, Camping, Photography",difficult,One of the world's highest lakes
Manang Valley,Manang,Gandaki,4,22000,Trekking,"Trekking, Acclimatization, Cultural Tour",moderate,Picturesque high-altitude valley along the Annapurna Circuit known for Tibetan-influenced culture and dramatic scenery.
Thorong La Pass,Manang,Gandaki,3,35000,Trekking,"Trekking, Mountaineering",difficult,High mountain pass on the Annapurna Circuit
Dhulikhel,Kavrepalanchok,Bagmati,1,3000,Hill Station,"Sunrise Viewing, Hiking, Photography",easy,Quiet hill town near Kathmandu offering stunning Himalayan panoramas and pleasant short hiking trails.
Namobuddha,Kavrepalanchok,Bagmati,1,2500,Religious,"Pilgrimage, Monastery Tour, Hiking",easy,Sacred Buddhist pilgrimage site marking where Buddha sacrificed himself to a starving tigress
Janakpur (Janaki Mandir),Dhanusha,Madhesh,2,4000,Religious,"Pilgrimage, Sightseeing, Cultural Tour",easy,Sacred city and birthplace of Sita
Halesi Mahadev,Khotang,Koshi,2,5000,Religious,"Pilgrimage, Cave Exploration, Hiking",moderate,Sacred limestone cave temple revered by both Hindus and Buddhists
Pokhara Cave (Mahendra Gupha),Kaski,Gandaki,1,1000,Cave,"Cave Exploration, Photography",easy,Limestone cave near Pokhara featuring stalactite and stalagmite formations within a serene natural setting.
Davis Falls,Kaski,Gandaki,1,800,Waterfall,"Sightseeing, Photography",easy,Distinctive waterfall in Pokhara that vanishes underground into a mysterious gorge
Begnas Lake,Kaski,Gandaki,1,2500,Lake,"Boating, Fishing, Hiking",easy,Quieter alternative to Phewa Lake
Muktinath Temple,Mustang,Gandaki,4,20000,Religious,"Pilgrimage, Trekking, Photography",moderate,Sacred temple revered by both Hindus and Buddhists
Sundarijal,Kathmandu,Bagmati,1,1500,Waterfall,"Hiking, Photography, Picnicking",easy,Scenic waterfall and hiking gateway on the edge of Kathmandu Valley leading toward Shivapuri National Park.
Shivapuri National Park,Kathmandu,Bagmati,1,2000,National Park,"Hiking, Bird Watching, Camping",easy,Forested national park bordering Kathmandu
Daman,Makwanpur,Bagmati,1,2500,Hill Station,"Sunrise Viewing, Photography, Hiking",easy,Elevated hill station along the Tribhuvan Highway offering one of the widest Himalayan panoramas in Nepal.
Manakamana Temple,Gorkha,Gandaki,1,3000,Religious,"Pilgrimage, Cable Car Ride, Photography",easy,Hilltop temple dedicated to a wish-fulfilling goddess
Gorkha Durbar,Gorkha,Gandaki,1,2000,Heritage,"Sightseeing, Pilgrimage, Photography",moderate,Historic hilltop palace and birthplace of Nepal's unification
Lake Phoksundo,Dolpa,Karnali,9,45000,Lake,"Trekking, Camping, Photography",difficult,Stunning turquoise glacial lake within Shey Phoksundo National Park
Tansen,Palpa,Lumbini,2,3000,Hill Station,"Sightseeing, Hiking, Photography",easy,Historic Newar hill town known for its palace remains
Khokana,Lalitpur,Bagmati,1,1000,Cultural,"Sightseeing, Cultural Tour, Photography",easy,Traditional Newar village renowned for mustard oil production and well-preserved cultural heritage.
Panauti,Kavrepalanchok,Bagmati,1,1500,Heritage,"Sightseeing, Photography, Festival Visit",easy,Ancient Newar town at the confluence of two rivers
Ghandruk,Kaski,Gandaki,3,12000,Trekking,"Trekking, Cultural Tour, Photography",moderate,Picturesque Gurung village on the Annapurna trail offering rich culture and close-up Himalayan mountain views.
Pikey Peak,Solukhumbu,Koshi,5,18000,Trekking,"Trekking, Camping, Sunrise Viewing",moderate,Lesser-known viewpoint trek offering one of the widest Himalayan panoramas including Everest
Dhampus,Kaski,Gandaki,2,6000,Hill Station,"Hiking, Photography, Village Tour",easy,Accessible hillside village near Pokhara offering close mountain views and an easy introduction to Himalayan trekking.
Kakani,Nuwakot,Bagmati,1,2000,Hill Station,"Sightseeing, Hiking, Photography",easy,Quiet hill resort near Kathmandu known for terraced landscapes and clear views of the Ganesh Himal range.
Khotang Diktel,Khotang,Koshi,2,8000,Cultural,"Sightseeing, Local Culture, Photography",easy,"District headquarters of Khotang known for its peaceful hills, local Rai culture, and scenic landscapes."
Bhulbhule,Khotang,Koshi,2,7000,Village,"Village Walk, Hiking, Photography",easy,"A quiet rural village surrounded by green hills, offering traditional lifestyles and beautiful countryside views."
Nerpa Village,Khotang,Koshi,2,7000,Village,"Cultural Tour, Hiking, Photography",easy,"A traditional Rai settlement famous for its rich heritage, terraced farms, and welcoming local community."
Bhedetar,Dhankuta,Koshi,2,5000,Hill Station,"Sightseeing, Paragliding, Photography",easy,"A popular hill station offering cool weather, panoramic mountain views, and the famous Charles Point viewpoint."
Hile,Dhankuta,Koshi,1,4500,Hill Station,"Sightseeing, Local Food, Photography",easy,"A scenic stop known for its cool climate, beautiful landscapes, and locally produced churpi cheese."
Koshi Tappu Wildlife Reserve,Sunsari/Saptari/Udayapur,Koshi,2,12000,Wildlife Reserve,"Bird Watching, Wildlife Safari, Photography",easy,"Nepal's premier wetland reserve famous for migratory birds, wild water buffalo, and rich biodiversity."
Shree Antu,Ilam,Koshi,2,7000,Viewpoint,"Sunrise Viewing, Hiking, Photography",easy,A beautiful hilltop destination renowned for spectacular sunrise views and surrounding tea gardens.
Makalu Barun National Park,Sankhuwasabha,Koshi,14,65000,National Park,"Trekking, Camping, Wildlife Viewing",difficult,"A remote protected area featuring Mount Makalu, diverse wildlife, alpine forests, and challenging trekking routes."
Sagarmatha National Park,Solukhumbu,Koshi,14,85000,National Park,"Trekking, Mountain Viewing, Photography",difficult,"UNESCO World Heritage Site home to Mount Everest, glaciers, Sherpa culture, and the famous Everest Base Camp trail."
Suketar,Taplejung,Koshi,2,9000,Village,"Trekking, Village Walk, Homestay Experience",moderate,Airport hub and gateway village with community homestays
Syamdo Lake,Taplejung,Koshi,12,50000,Lake,"Trekking, Camping, Photography",difficult,"Newly explored alpine lake at 5,200m in Faktanglung"
