destination_id,old_destination_id,old_destination_id,destination_name,district,province,region,category,travel_type,activities,best_season,estimated_budget_npr,average_duration_days,difficulty_level,family_friendly,latitude,longitude,average_rating,review_count,popularity_score,description
1,1,D001,Phewa Lake,Kaski,Gandaki,Western,Lake,"Nature,Family,Adventure","Boating,Photography,Lakeside Walk",Oct-Mar,3000,1,Easy,Yes,28.2096,83.9536,4.6,12500,95.0,A serene lake in Pokhara offering boating and stunning reflections of the Annapurna range at sunrise.
2,2,D002,Sarangkot,Kaski,Gandaki,Western,Hill Station,"Nature,Adventure,Family","Sunrise Viewing,Paragliding,Hiking",Oct-Apr,2500,1,Easy,Yes,28.238,83.953,4.7,9800,93.0,Popular viewpoint near Pokhara known for spectacular sunrise views over the Annapurna and Machhapuchhre peaks.
3,3,D003,Annapurna Base Camp,Kaski,Gandaki,Western,Trekking,"Adventure,Nature","Trekking,Camping,Mountain Viewing",Mar-May,45000,12,Difficult,No,28.5308,83.877,4.9,7600,97.0,Iconic trekking destination surrounded by towering peaks
4,4,D004,Poon Hill,Myagdi,Gandaki,Western,Trekking,"Adventure,Nature,Family","Trekking,Sunrise Viewing,Photography",Oct-Apr,15000,5,Moderate,Yes,28.399,83.697,4.8,8400,92.0,Famous short trek offering panoramic sunrise views of Dhaulagiri and Annapurna ranges from a scenic hilltop.
5,5,D005,Chitwan National Park,Chitwan,Bagmati,Central,National Park,"Nature,Adventure,Family","Jungle Safari,Canoeing,Bird Watching",Oct-Mar,8000,3,Easy,Yes,27.5291,84.3542,4.7,11200,94.0,UNESCO World Heritage jungle reserve famous for one-horned rhinos
6,6,D006,Lumbini,Rupandehi,Lumbini,Western,Religious,"Religious,Cultural,Family","Pilgrimage,Monastery Tour,Meditation",Oct-Mar,5000,2,Easy,Yes,27.4833,83.2767,4.8,9700,93.0,Birthplace of Lord Buddha and UNESCO World Heritage Site featuring ancient monasteries and the sacred Maya Devi Temple.
7,7,D007,Swayambhunath Stupa,Kathmandu,Bagmati,Kathmandu Valley,Religious,"Religious,Cultural,Family","Sightseeing,Pilgrimage,Photography",Sep-Apr,1500,1,Easy,Yes,27.7149,85.2904,4.6,10300,91.0,Ancient hilltop stupa overlooking Kathmandu Valley
8,8,D008,Pashupatinath Temple,Kathmandu,Bagmati,Kathmandu Valley,Religious,"Religious,Cultural","Pilgrimage,Cultural Observation,Photography",Sep-Mar,1000,1,Easy,Yes,27.7106,85.3486,4.7,12800,94.0,Sacred Hindu temple complex on the Bagmati River
9,9,D009,Boudhanath Stupa,Kathmandu,Bagmati,Kathmandu Valley,Religious,"Religious,Cultural,Family","Pilgrimage,Shopping,Photography",Sep-Apr,1500,1,Easy,Yes,27.7215,85.362,4.7,10900,93.0,One of the largest stupas in the world
10,10,D010,Kathmandu Durbar Square,Kathmandu,Bagmati,Kathmandu Valley,Heritage,"Cultural,Heritage,Family","Sightseeing,Photography,Museum Visit",Sep-Apr,1200,1,Easy,Yes,27.7041,85.307,4.6,9400,90.0,Historic royal palace complex showcasing exquisite Newar architecture and centuries of Kathmandu's heritage.
11,11,D011,Bhaktapur Durbar Square,Bhaktapur,Bagmati,Kathmandu Valley,Heritage,"Cultural,Heritage,Family","Sightseeing,Pottery Tour,Photography",Sep-Apr,1500,1,Easy,Yes,27.6722,85.428,4.8,9100,91.0,Well-preserved medieval city famous for intricate wood carvings
