destination_id,destination_name,district,province,category,travel_type,activities,description,semantic_text
1,Phewa Lake,Kaski,Gandaki,Lake,"Nature,Family,Adventure","Boating,Photography,Lakeside Walk",A serene lake in Pokhara offering boating and stunning reflections of the Annapurna range at sunrise.,Phewa Lake. A serene lake in Pokhara offering boating and stunning reflections of the Annapurna range at sunrise.
2,Sarangkot,Kaski,Gandaki,Hill Station,"Nature,Adventure,Family","Sunrise Viewing,Paragliding,Hiking",Popular viewpoint near Pokhara known for spectacular sunrise views over the Annapurna and Machhapuchhre peaks.,Sarangkot. Popular viewpoint near Pokhara known for spectacular sunrise views over the Annapurna and Machhapuchhre peaks.
3,Annapurna Base Camp,Kaski,Gandaki,Trekking,"Adventure,Nature","Trekking,Camping,Mountain Viewing",Iconic trekking destination surrounded by towering peaks,Annapurna Base Camp. Iconic trekking destination surrounded by towering peaks
4,Poon Hill,Myagdi,Gandaki,Trekking,"Adventure,Nature,Family","Trekking,Sunrise Viewing,Photography",Famous short trek offering panoramic sunrise views of Dhaulagiri and Annapurna ranges from a scenic hilltop.,Poon Hill. Famous short trek offering panoramic sunrise views of Dhaulagiri and Annapurna ranges from a scenic hilltop.
5,Chitwan National Park,Chitwan,Bagmati,National Park,"Nature,Adventure,Family","Jungle Safari,Canoeing,Bird Watching",UNESCO World Heritage jungle reserve famous for one-horned rhinos,Chitwan National Park. UNESCO World Heritage jungle reserve famous for one-horned rhinos
6,Lumbini,Rupandehi,Lumbini,Religious,"Religious,Cultural,Family","Pilgrimage,Monastery Tour,Meditation",Birthplace of Lord Buddha and UNESCO World Heritage Site featuring ancient monasteries and the sacred Maya Devi Temple.,Lumbini. Birthplace of Lord Buddha and UNESCO World Heritage Site featuring ancient monasteries and the sacred Maya Devi Temple.
7,Swayambhunath Stupa,Kathmandu,Bagmati,Religious,"Religious,Cultural,Family","Sightseeing,Pilgrimage,Photography",Ancient hilltop stupa overlooking Kathmandu Valley,Swayambhunath Stupa. Ancient hilltop stupa overlooking Kathmandu Valley
8,Pashupatinath Temple,Kathmandu,Bagmati,Religious,"Religious,Cultural","Pilgrimage,Cultural Observation,Photography",Sacred Hindu temple complex on the Bagmati River,Pashupatinath Temple. Sacred Hindu temple complex on the Bagmati River
9,Boudhanath Stupa,Kathmandu,Bagmati,Religious,"Religious,Cultural,Family","Pilgrimage,Shopping,Photography",One of the largest stupas in the world,Boudhanath Stupa. One of the largest stupas in the world
10,Kathmandu Durbar Square,Kathmandu,Bagmati,Heritage,"Cultural,Heritage,Family","Sightseeing,Photography,Museum Visit",Historic royal palace complex showcasing exquisite Newar architecture and centuries of Kathmandu's heritage.,Kathmandu Durbar Square. Historic royal palace complex showcasing exquisite Newar architecture and centuries of Kathmandu's heritage.
11,Bhaktapur Durbar Square,Bhaktapur,Bagmati,Heritage,"Cultural,Heritage,Family","Sightseeing,Pottery Tour,Photography",Well-preserved medieval city famous for intricate wood carvings,Bhaktapur Durbar Square. Well-preserved medieval city famous for intricate wood carvings
12,Patan Durbar Square,Lalitpur,Bagmati,Heritage,"Cultural,Heritage,Family","Sightseeing,Museum Visit,Photography",City of fine arts renowned for ancient temples,Patan Durbar Square. City of fine arts renowned for ancient temples
13,Nagarkot,Bhaktapur,Bagmati,Hill Station,"Nature,Family,Adventure","Sunrise Viewing,Hiking,Photography",Popular hill station near Kathmandu offering breathtaking Himalayan sunrise views including Everest on clear days.,Nagarkot. Popular hill station near Kathmandu offering breathtaking Himalayan sunrise views including Everest on clear days.
14,Everest Base Camp,Solukhumbu,Koshi,Trekking,"Adventure,Nature","Trekking,Mountaineering,Camping",World-renowned trek to the foot of Mount Everest through Sherpa villages and dramatic high-altitude landscapes.,Everest Base Camp. World-renowned trek to the foot of Mount Everest through Sherpa villages and dramatic high-altitude landscapes.
15,Namche Bazaar,Solukhumbu,Koshi,Trekking,"Adventure,Cultural,Nature","Trekking,Shopping,Acclimatization",Vibrant Sherpa trading town and gateway to Everest,Namche Bazaar. Vibrant Sherpa trading town and gateway to Everest
16,Rara Lake,Mugu,Karnali,Lake,"Nature,Adventure","Trekking,Boating,Camping",Nepal's largest lake,Rara Lake. Nepal's largest lake
17,Gosaikunda,Rasuwa,Bagmati,Lake,"Religious,Adventure,Nature","Trekking,Pilgrimage,Camping",Sacred alpine lake revered by Hindus and Buddhists,Gosaikunda. Sacred alpine lake revered by Hindus and Buddhists
18,Langtang Valley,Rasuwa,Bagmati,Trekking,"Adventure,Nature,Cultural","Trekking,Camping,Cultural Tour",Scenic Himalayan valley near Kathmandu offering glaciers,Langtang Valley. Scenic Himalayan valley near Kathmandu offering glaciers
